IL4R	MT-ND1
ILF3	MT-ND5
INO80E	MT-ND4L
IWS1	MT-ATP6
JOSD2	MT-ATP8
KDELR1	MT-ND4L
KIAA0090	MT-ND4L
KIAA0226	MT-ND1
KIAA1430	MT-ATP8
KIDINS220	MT-ATP6
KIDINS220	MT-ND4
KIF14	MT-ATP6
KIF15	MT-ATP6
KIF2A	MT-ATP8
KISS1R	MT-ATP6
KPNA1	MT-ATP8
KPNA1	MT-ND2
KPNB1	MT-ATP6
KPNB1	MT-ND4
KTN1	MT-ND4
LAGE3	MT-ATP8
LAMTOR1	MT-ND4L
LAMTOR1	MT-ND5
LENG8	MT-CN
LGALS9B	MT-ND4L
LLPH	MT-ND2
LRRC37A	MT-ATP6
LTN1	MT-ATP6
LY6G5B	MT-CN
MAGEH1	MT-ND4
MAGEH1	MT-ND5
MAP3K7	MT-ND2
MAP4	MT-ATP6
MAP4	MT-ND4
MAPK1IP1L	MT-ND4L
MED1	MT-ATP8
MED14	MT-ATP8
MED18	MT-ND5
MED4	MT-ND4L
METTL10	MT-ND4L
MIA3	MT-ND4L
MIS18BP1	MT-ATP6
MKI67	MT-ATP6
MKI67	MT-ND4
MKI67	MT-ND5
MPHOSPH9	MT-ATP8
MPND	MT-ATP8
MRP63	MT-ATP8
MRPL14	MT-CN
MRPL2	MT-CYB
MRPL41	MT-ATP8
MRPL49	MT-ND3
MRPL54	MT-CN
MRPS12	MT-CN
MT-ATP6	MT-ATP8
MT-CO1	MT-CO3
MT-CO2	MT-CO1
MT-CYB	MT-CO1
MTERFD1	MT-ND1
MT-ND4	MT-ATP6
MT-ND5	MT-ND4
MT-ND5	MT-ND4L
MT-ND6	MT-ND4
MT-ND6	MT-ND5
MYCBP2	MT-ND4
MYCBP2	MT-ND5
MYCBP2	MT-ND6
MYH9	MT-ND3
MYH9	MT-ND4
MYH9	MT-ND5
MYO18A	MT-ND5
MYO9B	MT-ND1
MYO9B	MT-ND3
MYO9B	MT-ND5
MYPOP	MT-ND2
MZT2B	MT-ATP8
MZT2B	MT-CN
NAF1	MT-ND3
NCL	MT-ATP6
NCL	MT-ND4
NDFIP2	MT-ND3
NDUFA2	MT-ATP8
NDUFA3	MT-ND4L
NDUFA7	MT-CYB
NDUFB6	MT-ATP8
NDUFB7	MT-ATP8
NDUFC2	MT-ND3
NENF	MT-CN
NF1	MT-ATP8
NIPA2	MT-ND4L
NIPBL	MT-ATP8
NOL8	MT-ATP6
NPLOC4	MT-CYB
NUDT16L1	MT-ATP8
NUFIP2	MT-ATP8
NUMA1	MT-ND5
NUP153	MT-ATP8
NUP43	MT-ATP8
OBFC2B	MT-ND1
PABPC3	MT-ATP8
PABPC3	MT-ND2
PANK4	MT-ND2
PARN	MT-ATP8
PARP1	MT-ND4L
PARP1	MT-ND5
PARP15	MT-ATP8
PARP15	MT-ATP6
PARVB	MT-CYB
PCF11	MT-ND5
PCF11	MT-ND6
PGAM1	MT-ATP8
PHC3	MT-ATP8
PHLDA3	MT-ATP8
PHRF1	MT-ND5
PIGT	MT-ND4L
PITHD1	MT-ND4L
PLEC	MT-ND5
PNISR	MT-ATP6
PNPLA4	MT-ND5
POLK	MT-ATP8
POLR2H	MT-ND1
POTEM	MT-ND4L
POTEM	MT-ND5
PPM1B	MT-ND4L
PPP1R11	MT-ND4L
PPP1R12A	MT-ATP8
PPP2CA	MT-CYB
PPP2CA	MT-ND4L
PPPDE2	MT-ND3
PREB	MT-ATP8
PRKAR1A	MT-ND2
PROSC	MT-ND4L
PRPF4B	MT-ATP8
PRPF4B	MT-CN
PRPF8	MT-ATP6
PRR11	MT-ATP8
PRR11	MT-CN
PRR13	MT-CN
PRR7	MT-ND2
PRRC2B	MT-ND5
PRRC2C	MT-ND4
PSMB10	MT-ATP8
PSMD9	MT-ATP8
PSMF1	MT-ND4L
PTGES3	MT-ND3
PTOV1	MT-ATP8
PTOV1	MT-ND2
PTPN11	MT-ND4L
PTRHD1	MT-ND5
QKI	MT-ND2
RAB11FIP3	MT-ND1
RAB1B	MT-ND4L
RABAC1	MT-ATP8
RABEP1	MT-ATP8
RABEP1	MT-ATP6
RANGRF	MT-ND5
RAPGEF1	MT-ND1
RBM25	MT-ATP6
RBM26	MT-ATP8
RBM34	MT-ND4L
RBM39	MT-ATP6
RBM5	MT-CN
RBM6	MT-CN
RHEB	MT-CYB
RHEB	MT-ND3
RNF114	MT-ND4L
RNF167	MT-CYB
RNF167	MT-ND4L
RNF4	MT-ND4L
ROMO1	MT-ATP6
RP11-148O21.2	MT-CN
RPF2	MT-ND3
RPL13	MT-ATP8
RPL18A	MT-ATP6
RPL3	MT-CYB
RPL36	MT-ATP8
RPL38	MT-ND3
RPL39L	MT-ATP6
RPS13	MT-ND4L
RPS14	MT-CYB
RPS17	MT-ND4L
RPS19	MT-ATP8
RPS19BP1	MT-ATP8
RPS20	MT-ATP8
RPS21	MT-ND4L
RPS23	MT-ND4L
RPS6KB2	MT-ATP8
RPS6KB2	MT-ATP6
RSPH9	MT-CYB
RSPO1	MT-CN
S1PR4	MT-CN
SAFB	MT-ND1
SAFB	MT-ND4
SAFB	MT-ND5
SART3	MT-ND5
SCNN1B	MT-CO1
SCO2	MT-ATP8
SDAD1	MT-ATP8
SDHAF1	MT-CN
SEC24B	MT-ATP8
SENP1	MT-ATP8
SERP1	MT-ATP8
SERTAD1	MT-ATP8
SETD2	MT-ATP6
SETD2	MT-ND4
SF3B1	MT-ATP6
SF3B1	MT-ND2
SF3B5	MT-ATP8
SH3BGRL3	MT-ND4L
SH3KBP1	MT-ND4
SH3KBP1	MT-ND5
SIKE1	MT-ND4L
SIPA1L1	MT-ATP6
SIPA1L1	MT-ND4
SIRT6	MT-ATP6
SIRT6	MT-ND2
SLC24A1	MT-CN
SLC25A3	MT-ND3
SLC38A10	MT-ATP8
SMARCA4	MT-ND5
SMC3	MT-ATP8
SMC5	MT-ATP8
SMC6	MT-ATP8
SMC6	MT-ATP6
SMEK1	MT-ND1
SMG7	MT-ATP8
SMN2	MT-ND4L
SNF8	MT-ATP8
SNRNP200	MT-ATP6
SNRNP200	MT-ND4
SNRPC	MT-ND4L
SOS1	MT-ATP8
SPATA20	MT-ND3
SPTAN1	MT-ND4
SPTAN1	MT-ND5
SPTBN1	MT-ND4
SPTBN1	MT-ND5
SRSF10	MT-ATP8
SRSF11	MT-ATP8
SRSF11	MT-ND2
SRSF4	MT-ND6
SSNA1	MT-ATP8
STAG3L2	MT-ND6
STAG3L3	MT-ND3
STAG3L3	MT-ND6
STAU2	MT-ATP8
STIM2	MT-CN
STK4	MT-ATP6
STK40	MT-ND1
STUB1	MT-ATP8
STYX	MT-ND3
SUMO1	MT-ND3
SUPT16H	MT-ATP6
SUPT16H	MT-ND2
SUPT6H	MT-ATP6
SUPT6H	MT-ND4
TAB3	MT-ATP8
TADA2A	MT-ATP6
TADA2A	MT-ND4
TAF15	MT-ND5
TAF15	MT-ND6
TAF1L	MT-ATP8
TAF1L	MT-ATP6
TAF1L	MT-ND2
TAOK1	MT-ATP8
TAOK3	MT-ATP6
TARBP2	MT-ND4
TCEA1	MT-ATP8
TCERG1	MT-CN
TFAM	MT-ND4L
THRAP3	MT-ATP6
TIGD6	MT-ND4L
TIMM13	MT-ATP8
TMED1	MT-ATP8
TMED1	MT-CN
TMED7	MT-CN
TMEM160	MT-ATP8
TMEM160	MT-CN
TMEM179B	MT-ND4L
TMEM179B	MT-ND5
TNRC18	MT-ND1
TOP2A	MT-ATP6
TOPBP1	MT-ATP8
TPD52L2	MT-CYB
TPR	MT-ATP6
TPR	MT-ND4
TRADD	MT-ATP8
TRAF6	MT-ND3
TRAPPC3	MT-ATP6
TRAPPC5	MT-ATP8
TRIM44	MT-ATP6
TRIM44	MT-ND2
TRIM44	MT-ND4
TRIM56	MT-ND5
TRIM56	MT-ND6
TRIP12	MT-ATP6
TSEN34	MT-ATP8
TSEN34	MT-CN
TTC9C	MT-ND1
TWF2	MT-CN
TXNL4A	MT-ATP8
TYMP	MT-ATP8
U2SURP	MT-ATP8
UBAP1	MT-ND4L
UBE2E1	MT-ATP8
UBE2K	MT-ND4L
UBE2M	MT-ATP8
UBE4A	MT-ATP8
UHMK1	MT-ND2
UPF1	MT-ND1
UPF3A	MT-CO1
UQCR11	MT-ATP8
URB2	MT-CO3
VHL	MT-ND3
VHL	MT-ND4
VHL	MT-ND5
VKORC1L1	MT-ND3
VPS41	MT-ATP6
VPS41	MT-ND2
WAS	MT-ND4L
WRN	MT-ND2
YARS	MT-CYB
YBX1	MT-CO1
YIF1B	MT-ATP6
