64396	2577	64395	54927
10758	7189	7188
10253	53347	80270
114971	8601	117144
114984	51608	439
10133	51019	23636	115106
201181	5684	5687
1488	126308	7050
14	55216	7681
151871	2257	84285
84991	22980	6303
391257	9063	4001
256302	54507	29785
26751	79720	6602
55742	3611	55034
4281	7325	9666
7024	5252	54954
6293	79874	9589
10062	6258	5914
10138	6015	7703
1019	896	1021
10252	3198	2815
10262	2444	663
10422	23321	80131
60343	10541	3841
10494	11235	8428
10513	147746	84795
10640	26098	30000
10807	8907	10900
11016	53615	57459
11117	66036	9107
11199	80153	196513
11275	51060	59349
112869	3866	9894
11338	6626	7307
117177	81567	8985
1933	1937	23276
203228	8892	84108
220082	4292	55086
85403	80125	220108	222389
23468	54904	6672
26234	6500	26273
27238	6455	55211
27300	5877	83593
2773	63940	5598
55165	7004	9659
29907	57142	92840
404550	5530	5534
51647	9391	64210
55663	7718	84307
79095	90423	9550
64396	2577	64395	57326
