0	0	0.999985
1	1	0.9999589
1	2566	0.9193171
2	2	0.9999907
2	21	0.9286996
2	43	0.9412678
2	191	-0.9336978
2	378	0.9185601
2	421	-0.92176
2	641	0.9019275
2	675	0.9206425
2	838	0.9409057
2	1723	-0.9178444
2	2175	0.9034187
2	2221	-0.9086649
2	2436	-0.9120957
2	2438	0.9229325
2	2671	0.9406704
2	2730	0.9517531
2	2921	0.9294341
2	3153	0.9291303
2	3663	0.9105401
2	3782	0.9123497
2	3996	0.907657
2	4138	0.9041041
2	4229	0.9100786
2	6427	0.9013739
2	6880	0.9492279
2	7280	0.9213072
3	3	1.000002
4	4	1.000001
5	5	1.000019
5	1013	0.915119
5	7641	0.9098231
6	6	0.9999948
7	7	0.9999685
8	8	1.000011
9	9	1.00002
10	10	0.9999737
11	11	1.000086
12	12	1.000008
13	13	0.9999915
14	14	1.000001
15	15	0.9999861
16	16	1.00001
17	17	1.000014
18	18	1.000005
19	19	0.999997
20	20	1.000012
21	2	0.9286996
21	21	1.000001
21	43	0.9749575
21	292	0.9091694
21	310	0.9204243
21	641	0.9561193
21	675	0.9616364
21	838	0.9326555
21	1460	0.9073886
21	1723	-0.9095873
21	2159	0.9005743
21	2175	0.9399151
21	2221	-0.908445
21	2436	-0.9041216
21	2438	0.9285221
21	2530	0.9272156
21	2730	0.9494407
21	2921	0.9207615
21	3153	0.9333593
21	3663	0.9597824
21	3782	0.9187313
21	3996	0.9154894
21	4229	0.9404082
21	5209	0.9418206
21	6427	0.9179721
21	6880	0.9375138
21	6897	0.921865
21	7280	0.9694684
22	22	0.9999934
23	23	1.000002
24	24	0.9999971
25	25	0.9999874
26	26	1.000111
27	27	0.9999591
27	2072	0.90749
28	28	0.9998942
29	29	0.9999461
29	2495	0.9279767
30	30	0.999965
31	31	1.000002
32	32	0.9999635
32	5506	-0.9135043
33	33	1.000009
33	66	0.927748
33	178	0.9351668
33	331	0.962087
33	334	0.9404218
33	376	0.9555739
33	464	0.9458853
